17,Angostura, Reserva, Reserva,Angostura Reserva, Angostura Reserva, NULL,8, NULL,80,Trinidad, NULL, 2012-08-29, n, n, n, n,www.angosturarum.com,NULL
18,Angostura, White Oak, White Oak,Angostura White Oak, Angostura White Oak, NULL,9, NULL,80,Trinidad, NULL, 2012-08-29, n, n, n, n,www.angosturarum.com,NULL
19,Appleton, Estate 21-year, Estate 21-year,Appleton Estate 21-year, Appleton Estate 21-year,300,32, NULL,86,Jamaica, NULL, 2012-08-29, n, n, n, n,www.appletonestate.com,NULL
20,Appleton, Estate Extra, Estate Extra,Appleton Estate Extra, Appleton Estate Extra,50,10, NULL,86,Jamaica, NULL, 2012-08-29, n, n, n, n,www.appletonestate.com,NULL
21,Appleton, Estate Reserve, Estate Reserve,Appleton Estate Reserve, Appleton Estate Reserve,50,8, NULL,80,Jamaica, NULL, 2012-08-29, n, n, n, n,NULL,NULL
22,Appleton, Estate V/X, Estate V/X,Appleton Estate V/X, Appleton Estate V/X,50,8, NULL,80,Jamaica, NULL, 2012-08-29, n, n, n, n,www.appletonestate.com,NULL
23,Appleton, Special, Special,Appleton Special, Appleton Special, NULL,8, NULL,80,Jamaica, NULL, 2012-08-29, n, n, n, n,www.appletonrum.com,NULL
24,Appleton, White, White,Appleton White, Appleton White, NULL,8, NULL,80,Jamaica, NULL, 2012-08-29, n, n, n, n,NULL,NULL
25,Atlantico, Platino, Platino,Atlantico Platino, Atlantico Platino, NULL,8, NULL,80,Dominican Republic, NULL, 2012-08-29, n, n, n, n,NULL,NULL
26,Atlantico, Private Cask, Private Cask,Atlantico Private Cask, Atlantico Private Cask, NULL,14, NULL,80,Dominican Republic, NULL, 2012-08-29, n, n, n, n,NULL,NULL
27,Atlantico, Reserva, Reserva,Atlantico Reserva, Atlantico Reserva, NULL,10, NULL,80,Dominican Republic, NULL, 2012-08-29, n, n, n, n,NULL,NULL
28,Bacardi, 8, 8,Bacardi 8, Bacardi 8,50,8, NULL,80,Puerto Rico, NULL, 2012-08-29, n, n, n, n,www.bacardi.com,NULL
29,Bacardi, A–ejo, A–ejo,Bacardi A–ejo, Bacardi A–ejo, NULL,8, NULL,80,Puerto Rico, NULL, 2012-08-29, n, n, n, n,www.bacardi.com,NULL
30,Bacardi, Gold, Gold,Bacardi Gold, Bacardi Gold, NULL,8, NULL,80,Puerto Rico, NULL, 2012-08-29, n, n, n, n,www.bacardi.com,NULL
31,Bacardi, Heritage, Heritage,Bacardi Heritage, Bacardi Heritage,50,8, NULL,89,Puerto Rico, NULL, 2012-08-29, n, n, n, n,NULL,150th Anniversary bottling limited edition
32,Bacardi, Oakheart Spiced, Oakheart Spiced,Bacardi Oakheart Spiced, Bacardi Oakheart Spiced, NULL,8, spiced,70,Puerto Rico, NULL, 2012-08-29, n, n, n, n,NULL,NULL
33,Bacardi, Reserva Limitada, Reserva Limitada,Bacardi Reserva Limitada, Bacardi Reserva Limitada,100,18, NULL,80,Puerto Rico, NULL, 2012-08-29, n, n, n, n,NULL,Formerly only sold at the Bacardi distillery
34,Bacardi, Select, Select,Bacardi Select, Bacardi Select, NULL,8, NULL,80,Puerto Rico, NULL, 2012-08-29, n, n, n, n,www.bacardi.com,NULL
35,Bacardi, Solera, Solera,Bacardi Solera, Bacardi Solera, NULL,11, NULL,80,Puerto Rico, NULL, 2012-08-29, n, n, n, n,NULL,NULL
36,Bacardi, Superior, Superior,Bacardi Superior, Bacardi Superior, NULL,8, NULL,80,Puerto Rico, NULL, 2012-08-29, n, n, n, n,www.bacardi.com,NULL
37,Balcones, Rumble, Rumble,Balcones Rumble, Balcones Rumble, NULL,14, NULL,94,Texas, TX, 2012-08-29, n, n, n, n,www.balconesdistilling.com,Made in Texas from wildflower honey and figs
38,Banks, 5 Island Blend, 5 Island Blend,Banks 5 Island Blend, Banks 5 Island Blend,50,12, blend,86,Singapore, NULL, 2012-08-29, n, n, n, n,www.banksrum.com,NULL
39,Banks, 7 Golden Age, 7 Golden Age,Banks 7 Golden Age, Banks 7 Golden Age,100,12, blend,86,Singapore, NULL, 2012-08-29, n, n, n, n,www.banksrum.com,NULL
40,Barbancourt, 15-year, 15-year,Barbancourt 15-year, Barbancourt 15-year,50,15, NULL,86,Haiti, NULL, 2012-08-29, n, n, n, n,NULL,NULL
41,Barbancourt, 8-year, 8-year,Barbancourt 8-year, Barbancourt 8-year,50,9, NULL,86,Haiti, NULL, 2012-08-29, n, n, n, n,www.barbancourt.net,NULL
42,Barbancourt, White, White,Barbancourt White, Barbancourt White, NULL,10, NULL,86,Haiti, NULL, 2012-08-29, n, n, n, n,www.barbancourt.net,NULL
43,Barcel—, A–ejo, A–ejo,Barcel— A–ejo, Barcel— A–ejo, NULL,9, NULL,80,Dominican Republic, NULL, 2012-08-29, n, n, n, n,NULL,NULL
44,Barcel—, Gran Platinum, Gran Platinum,Barcel— Gran Platinum, Barcel— Gran Platinum, NULL,9, NULL,80,Dominican Republic, NULL, 2012-08-29, n, n, n, n,NULL,NULL
