Name,Normalized name,Address,Description,Lat,Lng
Palau, - ,Palau, - ,7.51498,134.58252
Panama, - ,Panama, - ,8.537981,-80.782127
Papua New Guinea, - ,Papua New Guinea, - ,-6.314993,143.95555
Paraguay, - ,Paraguay, - ,-23.442503,-58.443832
Peru, - ,Peru, - ,-9.189967,-75.015152
Philippines, - ,Philippines, - ,12.879721,121.774017
Pitcairn, - ,Pitcairn, - ,-24.376745,-128.324235
Poland, - ,Poland, - ,51.919438,19.145136
Portugal, - ,Portugal, - ,39.399872,-8.224454
Puerto Rico, - ,Puerto Rico, - ,18.220833,-66.590149
Qatar, - ,Qatar, - ,25.354826,51.183884
Reunion, - ,Reunion, - ,-21.115141,55.536384
Romania, - ,Romania, - ,45.943161,24.96676
Russian Federation, - ,Russian Federation, - ,61.52401,105.318756
Rwanda, - ,Rwanda, - ,-1.940278,29.873888
Saint Helena, - ,Saint Helena, - ,38.505243,-122.470387
Saint Kitts and Nevis, - ,Saint Kitts and Nevis, - ,17.357822,-62.782998
Saint Pierre and Miquelon, - ,Saint Pierre and Miquelon, - ,46.8852,-56.3159
Saint Vincent and The Grenadines, - ,Saint Vincent and The Grenadines, - ,13.252818,-61.197096
Samoa, - ,Samoa, - ,-13.759029,-172.104629
San Marino, - ,San Marino, - ,43.94236,12.457777
Sao Tome and Principe, - ,Sao Tome and Principe, - ,0.18636,6.613081
Saudi Arabia, - ,Saudi Arabia, - ,23.885942,45.079162
Senegal, - ,Senegal, - ,14.497401,-14.452362
Serbia, - ,Serbia, - ,44.016521,21.005859
Seychelles, - ,Seychelles, - ,-4.679574,55.491977
Sierra Leone, - ,Sierra Leone, - ,8.460555,-11.779889
Singapore, - ,Singapore, - ,1.352083,103.819836
Slovakia, - ,Slovakia, - ,48.669026,19.699024
Slovenia, - ,Slovenia, - ,46.151241,14.995463
Solomon Islands, - ,Solomon Islands, - ,-9.64571,160.156194
Somalia, - ,Somalia, - ,5.152149,46.199616
South Africa, - ,South Africa, - ,-30.559482,22.937506
South Georgia and The South Sandwich Islands, - ,South Georgia and The South Sandwich Islands, - ,-54.429579,-36.587909
South Korea, - ,South Korea, - ,35.907757,127.766922
Spain, - ,Spain, - ,40.416752,-3.703864
Sri Lanka, - ,Sri Lanka, - ,7.873054,80.771797
Sudan, - ,Sudan, - ,12.862807,30.217636
Suriname, - ,Suriname, - ,3.919305,-56.027783
Svalbard and Jan Mayen, - ,Svalbard and Jan Mayen, - ,77.553604,23.670272
Swaziland, - ,Swaziland, - ,-26.522503,31.465866
Sweden, - ,Sweden, - ,60.128161,18.643501
Switzerland, - ,Switzerland, - ,46.818188,8.227512
Syrian Arab Republic, - ,Syrian Arab Republic, - ,34.802075,38.996815
Taiwan, - ,Taiwan, - ,23.69781,120.960515
Tajikistan, - ,Tajikistan, - ,38.861034,71.276093
Thailand, - ,Thailand, - ,15.870032,100.992541
Timor-leste, - ,Timor-leste, - ,-8.874217,125.727539
Togo, - ,Togo, - ,8.619543,0.824782
Tokelau, - ,Tokelau, - ,-9.2002,-171.8484
Tonga, - ,Tonga, - ,-21.178986,-175.198242
Tunisia, - ,Tunisia, - ,33.886917,9.537499
Turkey, - ,Turkey, - ,38.963745,35.243322
Turkmenistan, - ,Turkmenistan, - ,38.969719,59.556278
Turks and Caicos Islands, - ,Turks and Caicos Islands, - ,21.694025,-71.797928
Tuvalu, - ,Tuvalu, - ,-7.478442,178.679921
Uganda, - ,Uganda, - ,1.373333,32.290275
Ukraine, - ,Ukraine, - ,48.379433,31.16558
United Arab Emirates, - ,United Arab Emirates, - ,23.424076,53.847818
United Kingdom, - ,United Kingdom, - ,55.378051,-3.435973
United Republic of Tanzania, - ,United Republic of Tanzania, - ,-6.369028,34.888822
Uruguay, - ,Uruguay, - ,-32.522779,-55.765835
Uzbekistan, - ,Uzbekistan, - ,41.377491,64.585262
Vanuatu, - ,Vanuatu, - ,-15.376706,166.959158
Vatican City, - ,Vatican City, - ,41.902916,12.453389
Venezuela, - ,Venezuela, - ,6.42375,-66.58973
Viet Nam, - ,Viet Nam, - ,14.058324,108.277199
US Virgin Islands, - ,US Virgin Islands, - ,18.335765,-64.896335
Wallis and Futuna, - ,Wallis and Futuna, - ,-14.2938,-178.1165
Western Sahara, - ,Western Sahara, - ,24.215527,-12.885834
Yemen, - ,Yemen, - ,15.552727,48.516388
Zambia, - ,Zambia, - ,-13.133897,27.849332
Zimbabwe, - ,Zimbabwe, - ,-19.015438,29.154857
Trinidad, - ,Trinidad, - ,10.691803,-61.222503
St. Kitts, - ,St. Kitts, - ,32.66508,-114.51324
US Virgin Islands, - ,US Virgin Islands, - ,18.335765,-64.896335
Saint Lucia, - ,Saint Lucia, - ,13.909444,-60.978893
USA, - ,USA, - ,37.09024,-95.712891
Antigua, - ,Antigua, - ,17.074656,-61.817521
Bonaire, - ,Bonaire, - ,12.178361,-68.238534
British Virgin Islands, - ,British Virgin Islands, - ,18.420695,-64.639968
